FirstName,MiddleName,LastName,DOB,PhoneNumber,Email,StreetAddress,CurrentDate,FutureDate,Sent,SendText,Gender,Emergency Contact,Medical ID
Chris1,H,Pham,1011964,4083321091,ee104sjsu@gmail.com,One Washington Square,2022-08-28 00:05:00,2022-09-18 00:05:00,1,14083321091,,,
Chris4,H,Pham,1011964,4083321091,ee104sjsu@gmail.com,Two Washington ,2022-08-28 00:05:00,2022-09-18 00:05:00,1,14083321091,,,
Chris5,H,Pham,1011964,4083321091,ee104sjsu@gmail.com,5 Washington,2022-08-28 00:05:00,2022-09-18 00:05:00,1,14083321091,,,
Chris6,H,Pham,1011964,4083321091,ee104sjsu@gmail.com,6 Washington,2022-08-28 00:05:00,2022-09-18 00:05:00,1,14083321091,,,
Chris8,H,Pham,1011964,4083321091,ee104sjsu@gmail.com,8 Washington,2022-08-28 00:05:00,2022-09-18 00:05:00,1,14083321091,,,
Chris9,9,Pham,1011964,4083321091,ee104sjsu@gmail.com,9 Washington,2022-08-28 00:05:00,2022-09-18 00:05:00,1,14083321091,,,
Chris10,10,Pham,1011964,4083321091,ee104sjsu@gmail.com,10 Washington,2022-08-28 00:05:00,2022-09-18 00:05:00,1,14083321091,,,
Chris11,11,Pham,1011964,4083321091,ee104sjsu@gmail.com,11 Washington,2022-08-28 00:05:00,2022-09-18 00:05:00,1,14083321091,,,
Chris12,12,Pham,1011964,4083321091,ee104sjsu@gmail.com,12 Washington,2022-08-28 00:05:00,2022-09-18 00:05:00,1,14083321091,,,
Christopher,1,Pham,1011960,4083321091,ee104sjsu@gmail.com,One Washington Square,2022-08-29 00:05:00,2022-09-19 00:05:00,1,14083321091,,,
Chris101,101,Pham,1011964,4156406283,ee104sjsu@gmail.com,101 SJSU St,2022-09-09 00:05:00,2022-09-30 00:05:00,1,14156406283,,,
Chris,H,Pham,1011961,4083321091,ee104sjsu@gmail.com,One Washington Square,2023-02-06 00:05:00,2023-02-27 00:05:00,1,14083321091,,,
Chris,,Pham,1012001,4083321091,ee104sjsu@gmail.com,One Wash,2023-02-06 00:05:00,2023-02-27 00:05:00,1,14083321091,,,
Maxim,",",Club,1012001,4083321091,ee104sjsu@gmail.com,One Washington,2023-02-06 00:05:00,2023-02-27 00:05:00,1,14083321091,,,
Tran,Bao,Huynh,1012001,4083321091,ee104sjsu@gmail.com,one Washington,2023-02-13 00:05:00,2023-03-06 00:05:00,1,14083321091,,,
Tran2,B2,H2,1012015,4083321091,ee104sjsu@gmail.com,One washington,2023-02-13 00:05:00,2023-03-06 00:05:00,1,14083321091,,,
Nathan,V,Lee,2282001,6692388085,ee104lab2py@gmail.com,1234Santaclara St,2023-09-06 00:05:00,2023-09-27 00:05:00,1,16692388085,,,
Ace,N,test,2102001,6692546847,ee104lab2py@gmail.com,672 Kodiak Ct,2023-09-14 00:05:00,2023-10-05 00:05:00,1,16692546847,Male,1234567891.0,12341234.0
test,t,testing,12345678,6692546847,ee104lab2py@gmail.com,672 Kodiak Ct,2023-09-16 00:05:00,2023-10-07 00:05:00,1,16692546847,M,909.0,1234.0
sam,a,last,2102001,6692546847,ee104lab2py@gmail.com,672 kodak,2023-08-20 00:05:00,2023-09-10 00:05:00,1,16692546847,M,12234556.0,123.0
asd,qwe,zxc,2102001,6692546847,ee104lab2py@gmail.com,566 santa clara,2023-08-20 00:05:00,2023-09-10 00:05:00,1,16692546847,m,45678123.0,5674.0
Kobe,A,Bryant,2102001,6692546847,ee104lab2py@gmail.com,672 Kodiak ct,2023-08-20 00:05:00,2023-09-10 00:05:00,1,16692546847,M,124122512.0,1234.0
